evaluator,qid,question,ga,rid,response,accuracy,relevance,quality
Mansi,5,How do you stay motivated during difficult times?,"I remind myself of my long-term goals and try to break down tasks into smaller, manageable steps so I don’t get overwhelmed.",18,I journal when things get tough and read old entries to see how far I’ve come.,4,4,4
Mansi,5,How do you stay motivated during difficult times?,"I remind myself of my long-term goals and try to break down tasks into smaller, manageable steps so I don’t get overwhelmed.",17,I make a vision board to remind myself of what I’m working towards—it keeps me focused.,3,2,2
Manssi,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,4,"I hope to stick to a weekly planner so I can manage classes, gym, and study hours effectively.",3,2,4
Manssi,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,3,I want to start a habit of planning the night before so my mornings are more structured.,4,4,3
Manssi,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,2,My goal is to stop procrastinating by setting daily priorities and using Pomodoro timers.,3,5,2
Manssi,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,1,This month I aim to improve how I manage my day by creating a detailed plan every Sunday.,3,4,3
mans,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,3,I want to start a habit of planning the night before so my mornings are more structured.,2,2,2,2025-06-18T15:33:15.723243
mans,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,2,My goal is to stop procrastinating by setting daily priorities and using Pomodoro timers.,1,1,1,2025-06-18T15:33:15.724988
mans,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,4,"I hope to stick to a weekly planner so I can manage classes, gym, and study hours effectively.",1,1,1,2025-06-18T15:33:15.726262
mans,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,1,This month I aim to improve how I manage my day by creating a detailed plan every Sunday.,1,1,1,2025-06-18T15:33:15.727502
mans,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",7,"Being sick last week set me back, but I emailed my professors and caught up through recordings.",2,2,2,2025-06-18T15:33:21.738261
mans,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",6,Handling a group project with conflicting schedules was hard—I solved it by setting shared deadlines.,1,1,1,2025-06-18T15:33:21.739722
mans,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",8,"I was overwhelmed with exams and family duties, but asking for help and scheduling breaks helped.",1,1,1,2025-06-18T15:33:21.741258
mans,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",5,"Juggling my internship and assignments was tough, so I created a Google Calendar with reminders.",1,1,1,2025-06-18T15:33:21.742471
afcasf,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,4,"I hope to stick to a weekly planner so I can manage classes, gym, and study hours effectively.",2,2,2,2025-06-18T15:42:09.018844
afcasf,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,3,I want to start a habit of planning the night before so my mornings are more structured.,1,1,1,2025-06-18T15:42:09.020121
afcasf,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,1,This month I aim to improve how I manage my day by creating a detailed plan every Sunday.,1,1,1,2025-06-18T15:42:09.021347
afcasf,1,What is one goal you hope to achieve this month?,I want to improve my time management by creating a weekly schedule and sticking to it.,2,My goal is to stop procrastinating by setting daily priorities and using Pomodoro timers.,2,2,1,2025-06-18T15:42:09.022571
afcasf,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",8,"I was overwhelmed with exams and family duties, but asking for help and scheduling breaks helped.",1,1,1,2025-06-18T15:42:18.564438
afcasf,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",7,"Being sick last week set me back, but I emailed my professors and caught up through recordings.",1,1,1,2025-06-18T15:42:18.565910
afcasf,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",5,"Juggling my internship and assignments was tough, so I created a Google Calendar with reminders.",1,1,1,2025-06-18T15:42:18.567822
afcasf,2,"What challenges have you faced recently, and how did you handle them?","Balancing coursework and a part-time job has been tough, but I’ve started using a planner and asking for flexible shifts when needed.",6,Handling a group project with conflicting schedules was hard—I solved it by setting shared deadlines.,2,1,1,2025-06-18T15:42:18.569090
